game_id,week,home_team,away_team,predicted_viewers_millions,is_conference_game,fox_prob,cbs_prob,nbc_prob,undrafted_prob
401858488,7,Indiana,Ohio State,11.294,True,0.5562,0.2132,0.2063,0.0243
401858540,13,Ohio State,Michigan,10.753,True,0.5304,0.1308,0.1916,0.1472
401858514,10,Ohio State,Oregon,9.774,True,0.3937,0.2176,0.0,0.3887
401858509,9,USC,Ohio State,9.396,True,0.0,0.3937,0.2294,0.3769
401858473,5,Iowa,Ohio State,9.249,True,0.3467,0.1889,0.2012,0.2632
401858490,7,Michigan,Penn State,7.166,True,0.2004,0.1628,0.2092,0.4276
401858485,6,Penn State,USC,7.024,True,0.2861,0.1681,0.2009,0.3449
401858496,8,Michigan,Indiana,6.763,True,0.3018,0.1608,0.4041,0.1333
401858463,4,Michigan,Iowa,5.908,True,0.2377,0.1228,0.1751,0.4644
401856679,2,Michigan,Oklahoma,5.894,False,0.2716,0.1509,0.226,0.3515
401858531,12,Nebraska,Ohio State,5.866,True,0.3146,0.185,0.0,0.5004
401858469,4,USC,Oregon,5.813,True,0.0,0.3187,0.1835,0.4978
401858478,5,USC,Washington,5.788,True,0.0,0.238,0.1673,0.5947
401858518,11,Indiana,USC,5.702,True,0.3106,0.1391,0.2737,0.2766
401858465,4,Ohio State,Illinois,5.598,True,0.2623,0.1361,0.2129,0.3887
401858523,11,Oregon,Michigan,5.257,True,0.0,0.33,0.1808,0.4892
401858516,10,Washington,Penn State,5.024,True,0.0,0.1992,0.0,0.8008
401858428,1,Michigan,Western Michigan,4.596,False,0.0661,0.0373,0.0,0.8966
401858522,11,Ohio State,Northwestern,4.547,True,0.2653,0.1335,0.1965,0.4047
401858483,6,Ohio State,Maryland,4.499,True,0.2719,0.1624,0.1895,0.3762
401858541,13,Oregon,Washington,4.419,True,0.0,0.2756,0.1989,0.5255
401858481,6,Nebraska,Indiana,4.331,True,0.2097,0.1581,0.1518,0.4804
401858425,1,Indiana,North Texas,4.251,False,0.0816,0.0464,0.0,0.872
401858432,1,Ohio State,Ball State,4.249,False,0.0696,0.0392,0.0,0.8912
401858466,4,Penn State,Wisconsin,4.106,True,0.1353,0.085,0.1082,0.6715
401858434,1,Penn State,Marshall,4.046,False,0.0549,0.0316,0.0,0.9135
401858474,5,Minnesota,Michigan,3.987,True,0.1325,0.1199,0.1258,0.6218
401858476,5,Northwestern,Penn State,3.934,True,0.1344,0.121,0.1252,0.6194
401858454,3,Ohio State,Kent State,3.83,False,0.1203,0.0887,0.0,0.791
401858436,1,USC,Fresno State,3.785,False,0.0,0.0524,0.0,0.9476
401858535,12,Washington,Indiana,3.765,True,0.0,0.273,0.0,0.727
401858536,13,Iowa,Nebraska,3.754,True,0.1065,0.1017,0.1042,0.6876
401858492,7,Oregon,Nebraska,3.674,True,0.0,0.2386,0.1542,0.6072
401858511,10,Michigan,Michigan State,3.664,True,0.2421,0.1867,0.0,0.5712
401858439,2,Indiana,Howard,3.597,False,0.1568,0.0877,0.1247,0.6308
401858477,5,Rutgers,Indiana,3.501,True,0.1832,0.1215,0.1764,0.5189
