game_id,week,game_date,home_team,away_team,predicted_viewers_millions,lower_bound_millions,upper_bound_millions,is_conference_game,is_rivalry,is_cfp_rematch,combined_brand,home_strength,away_strength,market_score
401858488,7,2026-10-17,Indiana,Ohio State,11.294,9.351,15.426,True,False,True,7.65,0.9009,1.0,5.2311
401858540,13,2026-11-28,Ohio State,Michigan,10.753,8.81,14.885,True,True,False,8.909,1.0,0.5952,5.1761
401858514,10,2026-11-07,Ohio State,Oregon,9.774,7.831,13.906,True,False,False,7.569,1.0,0.8777,5.1761
401858509,9,2026-10-31,USC,Ohio State,9.396,7.453,13.528,True,False,False,8.464,0.6136,1.0,5.3471
401858473,5,2026-10-03,Iowa,Ohio State,9.249,7.306,13.381,True,False,False,7.11,0.5677,1.0,4.7707
401856682,2,2026-09-12,Texas,Ohio State,8.1,6.157,12.232,False,False,False,6.498,0.8381,1.0,2.4849
401858490,7,2026-10-17,Michigan,Penn State,7.166,5.223,11.299,True,False,False,7.785,0.5952,0.5827,5.2883
401858485,6,2026-10-10,Penn State,USC,7.024,5.081,11.156,True,False,False,7.34,0.5827,0.6136,5.0304
401858496,8,2026-10-24,Michigan,Indiana,6.763,4.82,10.895,True,False,False,6.563,0.5952,0.9009,5.2883
401858463,4,2026-09-26,Michigan,Iowa,5.908,3.965,10.04,True,False,False,6.023,0.5952,0.5677,5.2883
401856679,2,2026-09-12,Michigan,Oklahoma,5.894,3.951,10.026,False,False,False,5.411,0.5952,0.6205,5.2883
401858531,12,2026-11-21,Nebraska,Ohio State,5.866,3.923,9.998,True,False,False,7.952,0.4588,1.0,4.654
401858469,4,2026-09-26,USC,Oregon,5.813,3.87,9.945,True,False,False,6.037,0.6136,0.8777,5.3471
401858478,5,2026-10-03,USC,Washington,5.788,3.845,9.92,True,False,False,5.261,0.6136,0.5637,5.3471
401858518,11,2026-11-14,Indiana,USC,5.702,3.758,9.834,True,False,False,6.118,0.9009,0.6136,5.2311
401858465,4,2026-09-26,Ohio State,Illinois,5.598,3.654,9.73,True,False,False,6.277,1.0,0.4778,5.1761
401858523,11,2026-11-14,Oregon,Michigan,5.257,3.314,9.389,True,False,False,6.482,0.8777,0.5952,5.2417
401858516,10,2026-11-07,Washington,Penn State,5.024,3.08,9.156,True,False,False,5.669,0.5637,0.5827,5.2933
401858438,1,2026-09-06,Wisconsin,Notre Dame,4.903,2.96,9.035,True,False,False,5.927,0.4018,0.9187,5.1591
401858428,1,2026-09-05,Michigan,Western Michigan,4.596,2.653,8.728,False,False,False,5.411,0.5952,0.3259,5.2883
401858522,11,2026-11-14,Ohio State,Northwestern,4.547,2.604,8.679,True,False,False,5.868,1.0,0.4362,5.1761
401858483,6,2026-10-10,Ohio State,Maryland,4.499,2.556,8.631,True,False,False,6.169,1.0,0.3996,5.1761
401858541,13,2026-11-28,Oregon,Washington,4.419,2.475,8.551,True,True,False,4.366,0.8777,0.5637,5.2417
401858481,6,2026-10-10,Nebraska,Indiana,4.331,2.387,8.463,True,False,False,5.606,0.4588,0.9009,4.654
401858425,1,2026-09-05,Indiana,North Texas,4.251,2.308,8.383,False,False,False,4.152,0.9009,0.3147,5.2311
401858432,1,2026-09-05,Ohio State,Ball State,4.249,2.306,8.381,False,False,False,6.498,1.0,0.0933,5.1761
401858466,4,2026-09-26,Penn State,Wisconsin,4.106,2.163,8.238,True,False,False,5.892,0.5827,0.4018,5.0304
401858434,1,2026-09-05,Penn State,Marshall,4.046,2.103,8.178,False,False,False,5.374,0.5827,0.3199,5.0304
401858474,5,2026-10-03,Minnesota,Michigan,3.987,2.044,8.119,True,False,False,5.5,0.4317,0.5952,5.2781
401858476,5,2026-10-02,Northwestern,Penn State,3.934,1.991,8.066,True,False,False,4.744,0.4362,0.5827,5.3423
401858453,3,2026-09-19,Notre Dame,Michigan State,3.93,1.987,8.063,True,False,False,5.538,0.9187,0.3706,4.7185
401858454,3,2026-09-19,Ohio State,Kent State,3.83,1.887,7.963,False,False,False,6.498,1.0,0.1334,5.1761
401858436,1,2026-09-05,USC,Fresno State,3.785,1.842,7.917,False,False,False,4.966,0.6136,0.3662,5.3471
401858535,12,2026-11-21,Washington,Indiana,3.765,1.822,7.897,True,False,False,4.447,0.5637,0.9009,5.2933
401858536,13,2026-11-27,Iowa,Nebraska,3.754,1.811,7.886,True,True,False,5.066,0.5677,0.4588,4.7707
401858492,7,2026-10-17,Oregon,Nebraska,3.674,1.731,7.806,True,False,False,5.525,0.8777,0.4588,5.2417
401858511,10,2026-11-07,Michigan,Michigan State,3.664,1.721,7.796,True,True,False,5.54,0.5952,0.3706,5.2883
401858439,2,2026-09-12,Indiana,Howard,3.597,1.654,7.729,False,False,False,4.152,0.9009,0.05,5.2311
401858467,4,2026-09-26,Purdue,Notre Dame,3.592,1.649,7.725,True,False,False,5.264,0.3194,0.9187,5.2311
401858477,5,2026-10-03,Rutgers,Indiana,3.501,1.558,7.633,True,False,False,3.977,0.3965,0.9009,5.3519
401858487,6,2026-10-10,Washington,Iowa,3.487,1.544,7.619,True,False,False,3.907,0.5637,0.5677,5.2933
401858539,13,2026-11-28,Maryland,Penn State,3.43,1.487,7.562,True,False,False,5.045,0.3996,0.5827,5.3181
401858524,11,2026-11-14,Penn State,Minnesota,3.42,1.477,7.552,True,False,False,5.463,0.5827,0.4317,5.0304
401858433,1,2026-09-05,Oregon,Boise State,3.413,1.47,7.545,False,False,False,4.071,0.8777,0.4477,5.2417
401858430,1,2026-09-05,Nebraska,Ohio,3.41,1.467,7.542,False,False,False,4.454,0.4588,0.2799,4.654
401858500,8,2026-10-24,Wisconsin,USC,3.316,1.373,7.448,True,False,False,5.484,0.4018,0.6136,5.1591
